port,name,R_eff_ohm,C_eff_F,fit_resid_rel,f_min_Hz,Zmag_min_ohm,n_local_minima,n_local_maxima,ReZ_ii_ge0_all
44,Port44_U1_0::ADC_DVDD08_CORE/11,2.2115570641714597,1.9489398254635312e-07,0.004394440889795878,8317637.71102671,0.02272017071659126,3,2,True
45,Port45_U1_0::ADC_DVDD08_CORE/12,2.1662662222283733,1.9362261472431655e-07,0.00430797329657953,8317637.71102671,0.024391710367952214,3,3,True
46,Port46_U1_0::ADC_DVDD08_CORE/13,2.167009729893332,1.9360852589448727e-07,0.0043100364142162765,7585775.75029184,0.023869784706507764,3,2,True
47,Port47_U1_0::ADC_DVDD08_CORE/14,2.1483411117328575,1.9299787729079067e-07,0.004269465236415053,6309573.44480193,0.022809164548651253,2,2,True
48,Port48_U1_0::ADC_DVDD08_CORE/15,2.145114678895027,1.9300852075445122e-07,0.0042672365776870195,7585775.75029184,0.02635024701789782,3,2,True
49,Port49_U1_0::ADC_DVDD08_CORE/16,2.1557116581041886,1.9329998363462811e-07,0.00428816470525814,6918309.70918936,0.02792996877481417,4,3,True
50,Port50_U1_0::ADC_DVDD08_CORE/17,2.126866521705072,1.9255381202000705e-07,0.00423291949615653,6918309.70918936,0.028344282373936786,4,3,True
51,Port51_U1_0::ADC_DVDD08_CORE/18,2.15832012461469,1.9340261945320037e-07,0.004293278510597953,8317637.71102671,0.023090747068520837,3,2,True
52,Port52_U1_0::ADC_DVDD08_CORE/19,2.1538310550708597,1.9327642183087477e-07,0.004285907280874789,8317637.71102671,0.02322029101091622,3,2,True
53,Port53_U1_0::ADC_DVDD08_CORE/20,2.1955188454929986,1.945368519091058e-07,0.0043634479790144514,8317637.71102671,0.02319869244685294,3,2,True
54,Port54_U1_0::ADC_DVDD08_CORE/21,2.2228338607165194,1.9526204751924758e-07,0.004419066814847266,8317637.71102671,0.023564867041305962,3,2,True
55,Port55_U1_0::ADC_DVDD08_CORE/22,2.196951482179973,1.945654823394783e-07,0.0043677065723949395,8317637.71102671,0.021269701685777805,3,2,True
56,Port56_U1_0::ADC_DVDD08_CORE/23,2.2015554697722077,1.9461657106274463e-07,0.00437530183653516,8317637.71102671,0.02250451420128793,3,2,True
57,Port57_U1_0::ADC_DVDD08_CORE/24,2.2013602408213435,1.9468810334448343e-07,0.004375596110678211,8317637.71102671,0.022549270905952674,3,2,True
58,Port58_U1_0::ADC_DVDD08_CORE/25,2.2022133325311564,1.9474248776896534e-07,0.004376603234900032,8317637.71102671,0.022227134512889466,3,2,True
59,Port59_U1_0::ADC_DVDD08_CORE/26,2.2076199920617277,1.9488874030760325e-07,0.004387626789906262,8317637.71102671,0.02118567778990824,3,2,True
60,Port60_U1_0::ADC_DVDD08_CORE/27,2.209144781453733,1.9488568545953852e-07,0.004389330351930282,8317637.71102671,0.022255408939832348,3,2,True
61,Port61_U1_0::ADC_DVDD08_CORE/28,2.157976605481293,1.9347113637056105e-07,0.004295751974718879,8317637.71102671,0.02568116392492088,3,2,True
62,Port62_U1_0::ADC_DVDD08_CORE/29,2.1562492103415565,1.9340715009250872e-07,0.004294070605112714,8317637.71102671,0.02521278368517317,3,2,True
63,Port63_U1_0::ADC_DVDD08_CORE/30,2.1467295129805657,1.9312176335665663e-07,0.004274750056217453,7585775.75029184,0.03027316680272952,4,3,True
64,Port64_U1_0::ADC_DVDD08_CORE/31,2.151051608427316,1.931287312049415e-07,0.004277780472508684,6918309.70918936,0.02320024827129258,3,2,True
65,Port65_U1_0::ADC_DVDDQ12/0,2.1355671147645117,1.928163384476898e-07,0.0042533732983670225,8317637.71102671,0.020859048251658584,2,1,True
66,Port66_U1_0::ADC_DVDDQ12/1,2.1488514744787053,1.9315790577543954e-07,0.004277829108801061,8317637.71102671,0.02231513203612916,2,1,True
67,Port67_U1_0::ADC_DVDDQ12/2,2.1575067767107114,1.934383473078993e-07,0.004294032883944799,9120108.3935591,0.016662968166791022,2,1,True
68,Port68_U1_0::ADC_DVDDQ12/3,2.156820969374586,1.9346918192813658e-07,0.004288116765627032,9120108.3935591,0.016747229582369832,2,1,True
69,Port69_U1_0::ADC_DVDDQ12/4,2.22418226490182,1.9524894878570075e-07,0.004418665249914619,8317637.71102671,0.01803063006135602,2,2,True
70,Port70_U1_0::ADC_DVDDQ12/5,2.212011081816303,1.9490469999165014e-07,0.004397859195398742,8317637.71102671,0.019261499390373926,2,2,True
71,Port71_U1_0::ADC_DVDDQ12/6,2.202589197339969,1.946716582349917e-07,0.004377121710517213,8317637.71102671,0.019398647038549856,2,2,True
72,Port72_U1_0::ADC_DVDDQ12/7,2.2019146664850524,1.9461799919024815e-07,0.004374919749650462,8317637.71102671,0.018208803915916994,2,2,True
73,Port73_U1_0::ADC_DVDDQ12/8,2.1839327563364503,1.9412053141224687e-07,0.004340068202567987,8317637.71102671,0.018142429135498194,2,2,True
74,Port74_U1_0::ADC_DVDDQ12/9,2.1847412952574214,1.941340965791718e-07,0.004342672352355617,8317637.71102671,0.018234406194834463,2,2,True
75,Port75_U1_0::ADC_DVDDQ12/10,2.1989906796429946,1.945776594366687e-07,0.0043688206499268014,8317637.71102671,0.01779961591787386,2,2,True
76,Port76_U1_0::ADC_DVDDQ12/11,2.206176326334136,1.947703242882399e-07,0.004381693876746158,8317637.71102671,0.018031322684220252,2,2,True
77,Port77_U1_0::ADC_DVDDQ12/12,2.169082740272285,1.937125594125303e-07,0.004313033783888471,8317637.71102671,0.01828304919618858,2,2,True
78,Port78_U1_0::ADC_DVDDQ12/13,2.170678820775695,1.9371240486399792e-07,0.004318467936235222,8317637.71102671,0.018241736660899923,2,2,True
79,Port79_U1_0::ADC_DVDDQ12/14,2.1534137164117557,1.9324848999123256e-07,0.004281594437155377,7585775.75029184,0.02022001585450866,2,2,True
80,Port80_U1_0::ADC_DVDDQ12/15,2.1477759981029627,1.930950089219212e-07,0.004273024161027003,7585775.75029184,0.020765872941042256,2,2,True
81,Port81_U1_0::ADC_DVDDQ12/16,2.1491094105091255,1.9306951132174744e-07,0.004278748206082738,7585775.75029184,0.021594977456161697,2,1,True
82,Port82_U1_0::ADC_DVDDQ12/17,2.135064280839967,1.9275996444322657e-07,0.004250152222223189,8317637.71102671,0.02205445245737349,2,1,True
83,Port83_U1_0::ADC_DVDDQ12/18,2.1584486515910903,1.9340492404301235e-07,0.004294493169890735,8317637.71102671,0.01786149226413385,2,1,True
84,Port84_U1_0::ADC_DVDDQ12/19,2.163784716237803,1.9354561758772688e-07,0.004302613266847505,8317637.71102671,0.017825734405648278,2,1,True
85,Port85_U1_0::ADC_DVDDQ12/20,2.2046632982521808,1.9475120886899543e-07,0.004378371290968647,8317637.71102671,0.019859421773388834,2,2,True
86,Port86_U1_0::ADC_DVDDQ12/21,2.218422797003509,1.951371784882005e-07,0.0044070430928492745,8317637.71102671,0.017934954851949764,2,2,True
87,Port87_U1_0::ADC_DVDDQ12/22,2.1969644952034164,1.9450618310126717e-07,0.004364409357727957,8317637.71102671,0.018210381109765948,2,2,True
88,Port88_U1_0::ADC_DVDDQ12/23,2.19218720505261,1.943463659863706e-07,0.0043593992849710545,8317637.71102671,0.01802854896777854,2,2,True
89,Port89_U1_0::ADC_DVDDQ12/24,2.1795447822160874,1.9458357404896103e-07,0.004315446051200491,8317637.71102671,0.018930731862774903,2,2,True
90,Port90_U1_0::ADC_DVDDQ12/25,2.201793433124328,1.9467178103457018e-07,0.004375139911778034,8317637.71102671,0.019307738053135168,2,2,True
91,Port91_U1_0::ADC_DVDDQ12/26,2.2131037115602967,1.9503240198949208e-07,0.0043960357018972135,9120108.3935591,0.01890385653420951,2,2,True
92,Port92_U1_0::ADC_DVDDQ12/27,2.217378639246662,1.951544582839673e-07,0.004404898662732141,8317637.71102671,0.01937811702520947,2,2,True
93,Port93_U1_0::ADC_DVDDQ12/28,2.1651097923381037,1.9361668377930302e-07,0.004310263635080393,9120108.3935591,0.01807020904928689,3,2,True
94,Port94_U1_0::ADC_DVDDQ12/29,2.157526685589557,1.9340802864639668e-07,0.0042950119031985945,9120108.3935591,0.017413780781444888,3,2,True
95,Port95_U1_0::ADC_DVDDQ12/30,2.144620141250848,1.930347947442225e-07,0.00427199764480655,8317637.71102671,0.019786315114658077,2,1,True
96,Port96_U1_0::ADC_DVDDQ12/31,2.1386142898953424,1.929010002782064e-07,0.004258444244294255,9120108.3935591,0.020585935569937697,2,1,True
97,Port97_U1_0::ADC_DVDDQ18/0,1.0160432479662964,3.833530263421297e-07,0.003856596372941121,7585775.75029184,0.011295877494244114,2,2,True
98,Port98_U1_0::ADC_DVDDQ18/1,1.0155965782679006,3.8328765398157973e-07,0.0038542469333850697,7585775.75029184,0.011436507970552,2,2,True
99,Port99_U1_0::ADC_DVDDQ18/2,1.0177096285511755,3.8349667096509844e-07,0.0038616016580098646,7585775.75029184,0.011565002424620949,3,3,True
100,Port100_U1_0::ADC_DVDDQ18/3,1.0185451970817643,3.8355036285408535e-07,0.0038640272203031203,7585775.75029184,0.011420281293324954,3,3,True
101,Port101_U1_0::ADC_DVDDQ18/4,1.031840309191486,3.847673237149971e-07,0.003907820076763742,6309573.44480193,0.012733859775020676,3,2,True
102,Port102_U1_0::ADC_DVDDQ18/5,1.0316813261572415,3.8484294780224703e-07,0.0039041043394151295,6309573.44480193,0.012998848468478052,3,2,True
103,Port103_U1_0::ADC_DVDDQ18/6,1.030288249532024,3.846511201133796e-07,0.0039003789497331215,6309573.44480193,0.012627544392349482,3,2,True
